link,link/_text,link/_title,item_link,item_link/_text,item_link/_title,itemlink_image,itemlink_image/_alt,item_price,priceitem_number,installmentsquantity_number,mesesde_label,text_price,pricetext_number,envogratis_label,envogratis_value,envogratis_value_numbers,distrito_label
"http://articulo.mercadolibre.com.mx/MLM-571496243-videojuego-aventura-pokemon-sun-moon-nintendo-3ds-gamer-_JM","Videojuego Aventura Pokemon Sun + Moon Nintendo 3ds Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496243-videojuego-aventura-pokemon-sun-moon-nintendo-3ds-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_563515-MLM25247901864_122016-H.jpg","Videojuego Aventura Pokemon Sun + Moon Nintendo 3ds Gamer","2299","0","12","meses de","227","12","Envío gratis","1 vendido","1","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496205-videojuego-figura-pokemon-moon-lunala-nintendo-3ds-gamer-_JM","Videojuego + Figura Pokemon Moon Lunala Nintendo 3ds Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496205-videojuego-figura-pokemon-moon-lunala-nintendo-3ds-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_160615-MLM25247902822_122016-H.jpg","Videojuego + Figura Pokemon Moon Lunala Nintendo 3ds Gamer","1199","0","12","meses de","118","45","Envío gratis","10 vendidos","10","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-574981935-consola-videojuegos-nintendo-switch-ccontroles-joy-con-gris-_JM","Consola Videojuegos Nintendo Switch C/controles Joy-con Gris","","http://articulo.mercadolibre.com.mx/MLM-574981935-consola-videojuegos-nintendo-switch-ccontroles-joy-con-gris-_JM","","","https://http2.mlstatic.com/nintendos-D_Q_NP_491125-MLM25378584077_022017-H.jpg","Consola Videojuegos Nintendo Switch C/controles Joy-con Gris","9999","0","12","meses de","987","82","Envío gratis","2 vendidos","2","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496352-videojuego-super-mario-galaxy-2-nintendo-selects-wii-gamer-_JM","Videojuego Super Mario Galaxy 2 Nintendo Selects Wii Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496352-videojuego-super-mario-galaxy-2-nintendo-selects-wii-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_648515-MLM25247908110_122016-H.jpg","Videojuego Super Mario Galaxy 2 Nintendo Selects Wii Gamer","599","0","12","meses de","59","18","Envío gratis","5 vendidos","5","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496341-videojuego-pokemon-pokken-tournament-nintendo-wii-u-_JM","Videojuego Pokemon Pokken Tournament Nintendo Wii U","","http://articulo.mercadolibre.com.mx/MLM-571496341-videojuego-pokemon-pokken-tournament-nintendo-wii-u-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_252515-MLM25247908108_122016-H.jpg","Videojuego Pokemon Pokken Tournament Nintendo Wii U","1399","0","12","meses de","138","21","Envío gratis","3 vendidos","3","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496377-videojuego-super-mario-all-stars-nintendo-selects-wii-_JM","Videojuego Super Mario All Stars Nintendo Selects Wii","","http://articulo.mercadolibre.com.mx/MLM-571496377-videojuego-super-mario-all-stars-nintendo-selects-wii-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_771515-MLM25247901959_122016-H.jpg","Videojuego Super Mario All Stars Nintendo Selects Wii","599","0","12","meses de","59","18","Envío gratis","4 vendidos","4","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496257-figura-amiibo-mario-bros-retro-moderno-30th-nintendo-wii-u-_JM","Figura Amiibo Mario Bros Retro Moderno 30th Nintendo Wii U","","http://articulo.mercadolibre.com.mx/MLM-571496257-figura-amiibo-mario-bros-retro-moderno-30th-nintendo-wii-u-_JM","","","https://http2.mlstatic.com/amiibo-nintendo-D_Q_NP_107515-MLM25247909027_122016-H.jpg","Figura Amiibo Mario Bros Retro Moderno 30th Nintendo Wii U","349","0","12","meses de","34","48","Envío gratis","1 vendido","1","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496430-videojuego-yo-kai-watch-nintendo-3ds-gamer-_JM","Videojuego Yo-kai Watch Nintendo 3ds Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496430-videojuego-yo-kai-watch-nintendo-3ds-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_986515-MLM25247906739_122016-H.jpg","Videojuego Yo-kai Watch Nintendo 3ds Gamer","999","0","12","meses de","98","69","Envío gratis","4 vendidos","4","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496322-videojuego-minecraft-nintendo-wii-u-standard-edition-gamer-_JM","Videojuego Minecraft Nintendo Wii U Standard Edition Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496322-videojuego-minecraft-nintendo-wii-u-standard-edition-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_354515-MLM25247906661_122016-H.jpg","Videojuego Minecraft Nintendo Wii U Standard Edition Gamer","749","0","12","meses de","73","99","Envío gratis","3 vendidos","3","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-574980109-juego-the-legend-of-zelda-breath-of-the-wild-nintendo-switch-_JM","Juego The Legend Of Zelda Breath Of The Wild Nintendo Switch","","http://articulo.mercadolibre.com.mx/MLM-574980109-juego-the-legend-of-zelda-breath-of-the-wild-nintendo-switch-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_793125-MLM25378527240_022017-H.jpg","Juego The Legend Of Zelda Breath Of The Wild Nintendo Switch","1599","0","12","meses de","157","97","Envío gratis","2 vendidos","2","Distrito Federal"
